Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,matthews_corrcoef,Time Taken,Dataset
ExtraTreesClassifier,0.8908281998631075,0.8877390004494357,0.8877390004494357,0.8901565007804225,0.7851120060764747,1.2995851039886475,ser_wp
ExtraTreesClassifier,0.8891170431211499,0.8857700777284196,0.8857700777284198,0.8883367943776377,0.7825192630782455,1.3342459201812744,aac_wp
RandomForestClassifier,0.8894592744695414,0.886535809033516,0.8865358090335161,0.8888408863572015,0.78179560258221,2.3791120052337646,ser_wp
RandomForestClassifier,0.8853524982888432,0.8823175946315684,0.8823175946315683,0.884673058717472,0.773781464173494,2.4695401191711426,aac_wp
LGBMClassifier,0.8815879534565366,0.8794061250051072,0.8794061250051072,0.8811872345466534,0.7639732175983507,0.6771047115325928,aac_wp
XGBClassifier,0.8812457221081451,0.8793504738798978,0.8793504738798977,0.8809277964339575,0.762778579204358,1.3873863220214844,ser_wp
ExtraTreesClassifier,0.8740588637919233,0.8709457450840332,0.8709457450840332,0.8732911614521336,0.7510220220288268,2.5039167404174805,ctd_wp
ExtraTreesClassifier,0.8699520876112252,0.8657807571089029,0.8657807571089029,0.8686389283630179,0.7465815662386841,1.3146147727966309,ddr_wp
RandomForestClassifier,0.8699520876112252,0.8666260906563874,0.8666260906563874,0.8690683464860146,0.7433245687513268,2.79484486579895,ddr_wp
RandomForestClassifier,0.8678986995208761,0.8651763436224515,0.8651763436224514,0.8672642724513322,0.7374187897273238,4.5281898975372314,ctd_wp
XGBClassifier,0.8682409308692677,0.8660773282951454,0.8660773282951453,0.8678121501646575,0.7369422703246606,7.901275873184204,ctd_wp
ExtraTreesClassifier,0.865160848733744,0.8619246272431278,0.8619246272431279,0.8642923278132826,0.7332681996917475,1.517876386642456,pcp_wp
LGBMClassifier,0.8613963039014374,0.8588440909071697,0.8588440909071696,0.8608062628563994,0.723837390964095,0.6939566135406494,ddr_wp
ExtraTreesClassifier,0.8572895277207392,0.853915796325335,0.8539157963253351,0.8563111863560956,0.7176415533532806,1.5581152439117432,spc_wp
SVC,0.8555783709787816,0.852927460519401,0.8529274605194012,0.8549282786546325,0.7122524360795022,6.589252710342407,pcp_wp
XGBClassifier,0.8562628336755647,0.8544589231295938,0.8544589231295939,0.8559277647896221,0.7122336320827255,2.2499330043792725,pcp_wp
RandomForestClassifier,0.8524982888432581,0.8494510263053712,0.8494510263053712,0.8516569487331624,0.7069452506579144,3.414705276489258,spc_wp
RandomForestClassifier,0.8483915126625599,0.8450637451939266,0.8450637451939266,0.8473882860429043,0.6993559128932295,1.3473613262176514,rri_wp
LGBMClassifier,0.8490759753593429,0.8466628344879181,0.8466628344879181,0.8485044756626543,0.698605660607103,0.7236545085906982,spc_wp
ExtraTreesClassifier,0.8436002737850787,0.840091775045472,0.840091775045472,0.842471039309885,0.6901182329112053,1.2975890636444092,rri_wp
BaggingClassifier,0.8299110198494182,0.8270454606292945,0.8270454606292945,0.8290679746543903,0.6606237046153766,0.4057433605194092,rri_wp
RandomForestClassifier,0.7720739219712526,0.769185901527095,0.769185901527095,0.7710252835206691,0.5433599526278251,2.0217714309692383,atc_wp
LGBMClassifier,0.7707049965776865,0.7665963630933008,0.7665963630933009,0.7686788155924965,0.5427512349893608,0.24231362342834473,atc_wp
XGBClassifier,0.7693360711841205,0.766170878541067,0.766170878541067,0.7680832272706487,0.5381727625687939,0.6215331554412842,atc_wp
AdaBoostClassifier,0.6139630390143738,0.6003093920783793,0.6003093920783793,0.580336716562918,0.24265038011630705,0.333573579788208,sep_wp
XGBClassifier,0.6149897330595483,0.603451919541153,0.603451919541153,0.5915596131242047,0.23533492740203407,0.36626529693603516,sep_wp
LGBMClassifier,0.6078028747433265,0.5964673511050622,0.5964673511050622,0.5848816981204312,0.2182557408401344,0.16004157066345215,sep_wp
CalibratedClassifierCV,0.5263518138261465,0.5056207636461489,0.5056207636461489,0.4219912304657341,0.020805812515323787,48.795429944992065,ctc_wp
NearestCentroid,0.500684462696783,0.5065189305403512,0.5065189305403512,0.49396830381530404,0.01340101148207456,0.24424958229064941,ctc_wp
Perceptron,0.5044490075290896,0.5054066124807862,0.5054066124807862,0.5045678771564213,0.010808028620448478,0.29327940940856934,ctc_wp
