,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,class
0,0.0,0.0,7.69,0.0,15.38,15.38,0.0,23.08,7.69,15.38,0.0,7.69,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
1,15.38,0.0,0.0,0.0,7.69,7.69,0.0,15.38,0.0,30.77,0.0,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
2,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
3,0.0,0.0,0.0,5.88,0.0,0.0,5.88,5.88,0.0,29.41,0.0,11.76,11.76,11.76,0.0,0.0,5.88,5.88,0.0,5.88,positive
4,0.0,0.0,7.69,0.0,7.69,7.69,0.0,7.69,0.0,23.08,0.0,0.0,7.69,7.69,7.69,0.0,15.38,7.69,0.0,0.0,positive
5,0.0,0.0,0.0,0.0,0.0,0.0,8.33,8.33,25.0,25.0,8.33,0.0,0.0,0.0,0.0,16.67,0.0,0.0,8.33,0.0,positive
6,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,23.08,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,0.0,0.0,positive
7,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,46.15,0.0,7.69,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
8,7.69,0.0,0.0,0.0,23.08,7.69,0.0,0.0,0.0,38.46,0.0,0.0,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
9,15.38,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,23.08,0.0,0.0,7.69,0.0,0.0,7.69,0.0,15.38,0.0,0.0,positive
10,8.33,0.0,0.0,0.0,16.67,8.33,0.0,8.33,33.33,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,positive
11,0.0,0.0,0.0,0.0,7.69,15.38,0.0,0.0,0.0,46.15,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0,positive
12,0.0,0.0,0.0,0.0,15.38,0.0,0.0,15.38,7.69,15.38,0.0,0.0,7.69,0.0,0.0,23.08,7.69,7.69,0.0,0.0,positive
13,0.0,0.0,0.0,0.0,6.67,6.67,6.67,13.33,6.67,13.33,0.0,13.33,0.0,0.0,6.67,6.67,0.0,6.67,0.0,13.33,positive
14,0.0,0.0,0.0,0.0,25.0,8.33,0.0,8.33,8.33,8.33,0.0,0.0,0.0,8.33,8.33,8.33,0.0,8.33,8.33,0.0,positive
15,0.0,0.0,0.0,0.0,0.0,8.33,8.33,16.67,8.33,16.67,8.33,0.0,8.33,0.0,8.33,8.33,0.0,0.0,8.33,0.0,positive
16,23.08,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
17,7.69,0.0,0.0,0.0,30.77,7.69,0.0,0.0,15.38,23.08,0.0,0.0,7.69,0.0,0.0,0.0,0.0,7.69,0.0,0.0,positive
18,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,46.15,0.0,15.38,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
19,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,8.33,16.67,8.33,0.0,8.33,0.0,8.33,8.33,0.0,0.0,8.33,0.0,positive
20,11.76,0.0,0.0,0.0,5.88,11.76,0.0,5.88,0.0,5.88,5.88,11.76,0.0,0.0,5.88,0.0,5.88,11.76,11.76,5.88,positive
21,14.29,0.0,0.0,0.0,4.76,14.29,0.0,14.29,0.0,9.52,0.0,0.0,4.76,0.0,0.0,14.29,19.05,0.0,0.0,4.76,positive
22,11.76,0.0,5.88,0.0,5.88,17.65,0.0,0.0,11.76,29.41,0.0,5.88,0.0,0.0,0.0,0.0,5.88,5.88,0.0,0.0,positive
23,0.0,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,30.77,7.69,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
24,0.0,0.0,0.0,0.0,7.14,7.14,7.14,21.43,7.14,35.71,0.0,7.14,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,positive
25,0.0,0.0,0.0,0.0,14.29,14.29,0.0,14.29,21.43,14.29,0.0,0.0,0.0,0.0,0.0,7.14,0.0,7.14,7.14,0.0,positive
26,15.38,0.0,0.0,0.0,23.08,7.69,0.0,15.38,7.69,15.38,0.0,0.0,0.0,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
27,0.0,0.0,0.0,0.0,7.14,14.29,0.0,14.29,21.43,14.29,0.0,0.0,0.0,0.0,0.0,14.29,0.0,7.14,7.14,0.0,positive
28,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,15.38,38.46,0.0,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
29,16.67,0.0,0.0,0.0,16.67,8.33,0.0,16.67,8.33,8.33,8.33,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,positive
30,7.69,0.0,0.0,0.0,0.0,7.69,0.0,7.69,7.69,38.46,7.69,0.0,7.69,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
31,7.69,0.0,0.0,0.0,23.08,0.0,0.0,15.38,7.69,23.08,0.0,0.0,7.69,0.0,0.0,15.38,0.0,0.0,0.0,0.0,positive
32,15.38,0.0,0.0,0.0,7.69,7.69,0.0,0.0,15.38,15.38,0.0,0.0,7.69,0.0,0.0,15.38,0.0,15.38,0.0,0.0,positive
33,0.0,0.0,0.0,7.69,7.69,15.38,0.0,7.69,15.38,15.38,0.0,0.0,0.0,0.0,0.0,7.69,0.0,15.38,7.69,0.0,positive
34,0.0,0.0,0.0,0.0,0.0,16.67,8.33,16.67,8.33,16.67,8.33,0.0,8.33,0.0,8.33,0.0,0.0,0.0,8.33,0.0,positive
35,14.29,0.0,0.0,7.14,0.0,7.14,0.0,14.29,0.0,28.57,0.0,0.0,7.14,0.0,0.0,0.0,0.0,7.14,7.14,7.14,positive
36,15.38,0.0,0.0,0.0,15.38,7.69,0.0,0.0,15.38,30.77,0.0,0.0,0.0,0.0,0.0,7.69,0.0,7.69,0.0,0.0,positive
37,18.18,0.0,0.0,0.0,18.18,9.09,0.0,0.0,9.09,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,positive
38,0.0,0.0,0.0,0.0,8.33,16.67,0.0,8.33,0.0,41.67,0.0,8.33,8.33,0.0,0.0,8.33,0.0,0.0,0.0,0.0,positive
39,15.79,0.0,0.0,0.0,0.0,15.79,0.0,0.0,5.26,36.84,0.0,5.26,5.26,0.0,5.26,0.0,10.53,0.0,0.0,0.0,positive
40,0.0,0.0,0.0,0.0,30.77,15.38,0.0,7.69,7.69,23.08,0.0,0.0,7.69,0.0,7.69,0.0,0.0,0.0,0.0,0.0,positive
41,7.69,0.0,0.0,0.0,15.38,0.0,0.0,0.0,7.69,38.46,0.0,0.0,7.69,0.0,0.0,7.69,7.69,7.69,0.0,0.0,positive
42,18.18,0.0,0.0,0.0,18.18,0.0,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,positive
43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.69,7.69,46.15,0.0,7.69,7.69,0.0,0.0,7.69,0.0,15.38,0.0,0.0,positive
44,20.0,0.0,0.0,0.0,0.0,0.0,0.0,13.33,0.0,6.67,0.0,0.0,13.33,6.67,0.0,0.0,6.67,13.33,6.67,13.33,positive
45,8.33,0.0,0.0,0.0,8.33,8.33,0.0,16.67,8.33,25.0,0.0,0.0,8.33,0.0,0.0,8.33,0.0,8.33,0.0,0.0,positive
46,6.25,0.0,0.0,0.0,0.0,25.0,0.0,12.5,0.0,31.25,0.0,6.25,6.25,0.0,0.0,6.25,0.0,6.25,0.0,0.0,positive
47,0.0,0.0,0.0,0.0,0.0,8.33,8.33,8.33,25.0,16.67,8.33,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,0.0,positive
48,15.38,0.0,0.0,0.0,15.38,0.0,0.0,0.0,23.08,38.46,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,positive
49,11.76,0.0,0.0,0.0,11.76,23.53,0.0,0.0,11.76,23.53,0.0,5.88,0.0,0.0,0.0,5.88,0.0,5.88,0.0,0.0,positive
50,18.18,0.0,0.0,0.0,18.18,9.09,0.0,0.0,9.09,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,positive
51,18.18,0.0,0.0,0.0,18.18,9.09,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,9.09,0.0,positive
52,9.09,0.0,0.0,0.0,18.18,9.09,0.0,0.0,18.18,18.18,0.0,0.0,0.0,0.0,0.0,9.09,0.0,9.09,9.09,0.0,positive
53,0.0,0.0,0.0,0.0,7.69,7.69,0.0,7.69,23.08,23.08,0.0,0.0,7.69,0.0,0.0,7.69,7.69,0.0,7.69,0.0,positive
54,6.25,0.0,0.0,0.0,0.0,25.0,0.0,12.5,0.0,31.25,0.0,6.25,6.25,0.0,0.0,6.25,0.0,6.25,0.0,0.0,positive
