,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,class
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,44.44,0.0,positive
1,0.0,0.0,0.0,0.0,0.0,16.67,0.0,16.67,25.0,16.67,0.0,0.0,0.0,0.0,8.33,8.33,0.0,0.0,8.33,0.0,positive
2,11.11,0.0,0.0,3.7,3.7,3.7,0.0,3.7,11.11,22.22,0.0,7.41,3.7,0.0,7.41,11.11,3.7,0.0,3.7,3.7,positive
3,23.81,0.0,0.0,0.0,0.0,19.05,0.0,14.29,14.29,9.52,4.76,0.0,0.0,0.0,0.0,9.52,0.0,4.76,0.0,0.0,positive
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,28.57,0.0,57.14,0.0,0.0,0.0,0.0,0.0,positive
5,16.28,0.0,2.33,4.65,2.33,6.98,0.0,6.98,16.28,4.65,0.0,6.98,4.65,2.33,0.0,6.98,4.65,6.98,6.98,0.0,positive
6,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,positive
7,8.97,7.69,11.54,14.1,3.85,7.69,3.85,6.41,10.26,8.97,0.0,0.0,1.28,1.28,1.28,3.85,1.28,5.13,2.56,0.0,positive
8,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,42.86,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,28.57,0.0,positive
9,0.0,0.0,0.0,0.0,13.33,6.67,0.0,6.67,6.67,0.0,0.0,0.0,40.0,0.0,26.67,0.0,0.0,0.0,0.0,0.0,positive
10,0.0,0.0,0.0,0.0,12.5,0.0,12.5,25.0,12.5,0.0,0.0,0.0,12.5,0.0,0.0,12.5,12.5,0.0,0.0,0.0,positive
11,1.56,9.38,1.56,0.0,9.38,12.5,1.56,6.25,7.81,12.5,3.12,0.0,10.94,1.56,4.69,3.12,4.69,6.25,0.0,3.12,positive
12,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,33.33,11.11,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,22.22,11.11,positive
13,4.76,0.0,0.0,0.0,4.76,4.76,0.0,9.52,4.76,4.76,0.0,4.76,4.76,0.0,19.05,0.0,4.76,19.05,4.76,9.52,positive
14,16.84,0.0,1.05,8.42,2.11,14.74,1.05,1.05,12.63,2.11,2.11,1.05,0.0,3.16,0.0,3.16,10.53,18.95,0.0,1.05,positive
15,0.0,0.0,0.0,0.0,26.67,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,13.33,6.67,0.0,13.33,0.0,0.0,positive
16,8.33,5.56,2.78,0.0,8.33,16.67,0.0,2.78,13.89,5.56,0.0,16.67,0.0,11.11,2.78,2.78,0.0,2.78,0.0,0.0,positive
17,6.67,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,6.67,6.67,13.33,positive
18,0.0,23.08,0.0,3.85,7.69,7.69,0.0,3.85,3.85,3.85,0.0,3.85,7.69,0.0,0.0,11.54,3.85,15.38,0.0,3.85,positive
19,0.0,0.0,0.0,0.0,0.0,11.76,5.88,0.0,17.65,23.53,0.0,0.0,0.0,5.88,23.53,0.0,0.0,11.76,0.0,0.0,positive
20,22.06,1.47,1.47,7.35,1.47,1.47,1.47,10.29,5.88,7.35,4.41,1.47,10.29,4.41,1.47,4.41,4.41,7.35,0.0,1.47,positive
21,0.0,11.76,0.0,0.0,11.76,11.76,0.0,5.88,17.65,5.88,0.0,0.0,17.65,0.0,0.0,5.88,5.88,0.0,5.88,0.0,positive
22,0.0,0.0,0.0,0.0,8.33,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,8.33,33.33,0.0,0.0,16.67,0.0,0.0,positive
23,0.0,0.0,0.0,7.14,14.29,0.0,0.0,0.0,7.14,7.14,0.0,0.0,21.43,0.0,7.14,7.14,21.43,0.0,7.14,0.0,positive
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,8.33,8.33,0.0,0.0,0.0,8.33,33.33,0.0,0.0,25.0,0.0,0.0,positive
25,6.25,6.25,0.0,0.0,6.25,25.0,0.0,0.0,18.75,6.25,0.0,0.0,6.25,0.0,12.5,0.0,0.0,6.25,6.25,0.0,positive
26,8.33,0.0,0.0,0.0,0.0,8.33,8.33,0.0,16.67,41.67,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,8.33,0.0,positive
27,6.67,4.0,4.0,12.0,1.33,8.0,0.0,6.67,10.67,18.67,4.0,0.0,1.33,2.67,2.67,9.33,2.67,5.33,0.0,0.0,positive
28,9.52,0.0,7.14,7.14,7.14,14.29,7.14,7.14,4.76,4.76,2.38,2.38,0.0,2.38,2.38,4.76,0.0,14.29,0.0,2.38,positive
29,21.62,0.0,2.7,2.7,2.7,5.41,0.0,5.41,16.22,5.41,0.0,0.0,2.7,5.41,5.41,2.7,5.41,13.51,2.7,0.0,positive
30,4.92,3.28,3.28,13.11,4.92,4.92,0.0,3.28,6.56,16.39,4.92,3.28,3.28,1.64,8.2,4.92,6.56,3.28,1.64,1.64,positive
31,18.75,0.0,0.0,0.0,0.0,6.25,6.25,18.75,18.75,12.5,12.5,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,positive
